sku_id,location_name,at site,,at transit,at wh,sales_30_days,sales_60_days,sales_90_days,sku name,catalog_price,brands,category,assortment_group,markets,seasons,styles,size,department_name,department_external_id,product_name
P00130-03448A-120-64,Store #14,0,,0,0,0,0,0,PLAYERA BÁSICA INFANTIL - SF CUADRICULADO V12 A 120-AZUL M,159,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL,PRIMAVERA - VERANO 2012,MANGA CORTA,M,Linea,2,PLAYERA BÁSICA INFANTIL - SF CUADRICULADO V12 A 120-AZUL
P20416-03156A-023-04,Store #27,0,,0,0,0,0,0,PLAYERA NIÑO 2 TONOS - SF ORANGE SURF A 023-BLANCO 4,359,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2025,MANGA CORTA,4,Moda,1,PLAYERA NIÑO 2 TONOS - SF ORANGE SURF A 023-BLANCO
P00130-02247A-223-64,Store #3,0,,0,,0,0,0,PLAYERA BÁSICA INFANTIL - SF FROGENCIO 83 A 223-VERDE M,219,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL,VERANO 2023,MANGA CORTA,M,Linea,2,PLAYERA BÁSICA INFANTIL - SF FROGENCIO 83 A 223-VERDE
P00130-02681A-155-66,Store #27,2,,0,27,1,1,2,PLAYERA BÁSICA INFANTIL - SF ALL STAR FOOTBALL A 155-NARANJA 2X,219,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2024,MANGA CORTA,2X,Linea,2,PLAYERA BÁSICA INFANTIL - SF ALL STAR FOOTBALL A 155-NARANJA
P00148-16920A-201-10,Store #4,0,,0,0,0,0,0,PLAYERA INFANTIL PREMIUM - SF MEETING A 201-AZUL 10,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL,PRIMAVERA 2017,MANGA CORTA,10,Linea,2,PLAYERA INFANTIL PREMIUM - SF MEETING A 201-AZUL
P90392-00576A-066-04,Store #12,0,,0,0,0,0,0,PLAY ÑO COMBINADA - SF WHAT RULES A 066-GRIS 4,349,SEÑOR FROGS,MANGA CORTA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2020,MANGA CORTA,4,Moda,1,PLAY ÑO COMBINADA - SF WHAT RULES A 066-GRIS
P99921-03019A-023-08,Store #10,2,,0,22,0,0,0,PLAY ÑO MANGA LARGA - SF READY TO GO A 023-BLANCO 8,379,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2025,MANGA LARGA,8,Moda,1,PLAY ÑO MANGA LARGA - SF READY TO GO A 023-BLANCO
P00148-02586A-201-10,Store #2,0,,0,0,0,0,0,PLAYERA INFANTIL PREMIUM - SF HOOPER KID A 201-AZUL 10,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2024,MANGA CORTA,10,Linea,2,PLAYERA INFANTIL PREMIUM - SF HOOPER KID A 201-AZUL
P99820-02490A-173-64,Store #25,0,,0,0,0,0,0,PLAY ÑO COMBIN - SF MONTANDO OLAS A 173-NEGRO M,329,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2024,MANGA CORTA,M,Moda,1,PLAY ÑO COMBIN - SF MONTANDO OLAS A 173-NEGRO
P00130-02951A-223-64,Store #9,0,,0,0,0,0,0,PLAYERA BÁSICA INFANTIL - SF FROGENCIO 83 FL A 223-VERDE M,199,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2024,MANGA CORTA,M,Linea,2,PLAYERA BÁSICA INFANTIL - SF FROGENCIO 83 FL A 223-VERDE
